Property_ID,Date,City,Locality,State,Property_Type,BHK,Area_Sqft,Property_Age_Years,Sale_Price_Lakh,Price_per_Sqft,Monthly_Rent,Rental_Yield_Percent,New_Listings,Units_Sold,Unsold_Inventory,Days_on_Market,Demand_Index,Supply_Index,Interest_Rate_Percent,Inflation_Percent,GDP_Growth_Percent,Metro_Distance_Km,Latitude,Longitude
PROP01149,2024-10-01,Pune,Hinjewadi,Maharashtra,Apartment,2,875,1,77.61,8869.49,31358,4.85,167,131,355,89,80.1,59.4,6.37,5.39,6.59,5.4,18.592435,73.746575
PROP01150,2022-06-01,Jaipur,C-Scheme,Rajasthan,Villa,2,968,8,61.06,6307.49,24213,4.76,196,111,401,89,57.4,62.8,6.48,4.25,6.18,3.9,26.908957,75.793168
PROP01151,2025-07-01,Delhi,Vasant Kunj,Delhi,Apartment,2,1185,0,151.07,12748.47,43649,3.47,262,169,538,66,87.2,67.4,6.49,5.24,6.17,7.5,28.528482,77.158521
PROP01152,2024-03-01,Chennai,Velachery,Tamil Nadu,Apartment,3,1556,12,103.68,6663.29,35029,4.05,80,58,174,52,89.6,63.2,6.54,5.03,6.49,2.0,12.978296,80.218551
PROP01153,2024-09-01,Hyderabad,Kukatpally,Telangana,Independent House,3,1505,20,180.23,11975.12,65190,4.34,88,59,187,71,77.1,60.7,6.6,5.15,6.82,5.5,17.484087,78.414616
PROP01154,2022-11-01,Hyderabad,Miyapur,Telangana,Apartment,2,1217,6,73.23,6017.16,26992,4.42,76,50,156,81,91.7,55.5,6.4,5.82,6.51,3.4,17.4935,78.364005
PROP01155,2024-04-01,Kolkata,Ballygunge,West Bengal,Apartment,2,990,0,66.4,6707.12,25372,4.59,152,98,275,79,78.7,64.4,6.49,5.37,6.72,4.5,22.531211,88.365171
PROP01156,2022-11-01,Hyderabad,Kondapur,Telangana,Independent House,1,694,20,51.77,7460.37,18625,4.32,103,72,227,98,72.5,69.6,6.4,5.45,6.78,0.5,17.475043,78.365046
PROP01157,2023-11-01,Delhi,Rohini,Delhi,Apartment,3,1637,16,197.22,12047.72,59749,3.64,123,74,210,65,67.1,69.8,6.27,5.08,5.7,10.8,28.752278,77.053612
PROP01158,2023-07-01,Delhi,Greater Kailash,Delhi,Apartment,2,867,16,89.88,10366.52,25034,3.34,183,138,322,67,88.5,71.8,6.45,5.29,6.32,4.1,28.547454,77.240477
PROP01159,2023-04-01,Delhi,Greater Kailash,Delhi,Apartment,2,1065,20,107.65,10107.7,24253,2.7,179,98,397,70,89.0,75.2,6.37,4.78,6.92,3.0,28.548653,77.249566
PROP01160,2023-04-01,Kolkata,New Town,West Bengal,Apartment,2,1114,4,57.62,5172.55,21800,4.54,154,83,302,75,67.8,54.8,6.45,5.0,7.11,10.0,22.595131,88.415244
PROP01161,2024-09-01,Hyderabad,Manikonda,Telangana,Apartment,2,976,4,57.69,5911.15,19383,4.03,67,38,70,72,76.9,64.0,6.42,5.37,6.62,4.0,17.405054,78.382341
PROP01162,2026-04-01,Kolkata,Behala,West Bengal,Apartment,2,1216,11,79.99,6577.81,39144,5.87,133,88,175,73,73.3,62.7,6.52,4.76,6.57,10.5,22.498326,88.306043
PROP01163,2024-07-01,Bengaluru,Marathahalli,Karnataka,Independent House,2,1110,6,112.54,10138.74,37430,3.99,54,29,107,81,86.1,69.8,6.51,5.11,6.61,11.5,12.963701,77.698501
PROP01164,2022-12-01,Ahmedabad,Bopal,Gujarat,Apartment,3,1403,18,60.14,4286.81,24926,4.97,145,101,288,66,74.2,55.8,6.52,4.51,6.32,6.9,23.026904,72.462365
PROP01165,2026-05-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,2,1133,12,54.43,4803.95,17893,3.95,154,109,307,75,78.2,66.9,6.56,4.54,6.38,6.5,26.914989,75.734263
PROP01166,2023-01-01,Chennai,OMR,Tamil Nadu,Apartment,3,1748,10,121.99,6979.1,37468,3.69,152,101,238,75,61.7,54.5,6.42,5.86,7.29,5.0,12.938792,80.233481
PROP01167,2025-09-01,Hyderabad,Kukatpally,Telangana,Apartment,2,1237,12,106.06,8573.76,31004,3.51,215,113,466,90,68.3,72.2,6.52,4.86,6.83,7.9,17.485874,78.4146
PROP01168,2024-06-01,Pune,Wakad,Maharashtra,Apartment,2,1215,6,99.51,8190.43,39693,4.79,171,98,407,76,82.0,60.6,6.39,5.15,6.18,10.8,18.598797,73.759793
PROP01169,2026-03-01,Kolkata,Garia,West Bengal,Apartment,2,1250,20,89.09,7127.2,28497,3.84,136,91,239,69,74.7,65.0,6.4,5.12,7.28,5.6,22.469768,88.382729
PROP01170,2026-04-01,Kolkata,Salt Lake,West Bengal,Independent House,2,1088,13,102.32,9404.61,26439,3.1,173,118,292,79,74.1,71.4,6.44,4.91,6.26,4.2,22.581782,88.414978
PROP01171,2025-07-01,Bengaluru,Yelahanka,Karnataka,Independent House,2,1074,7,107.13,9975.15,35953,4.03,152,100,334,66,86.7,67.5,6.37,5.25,6.54,1.5,13.098644,77.596277
PROP01172,2025-10-01,Noida,Sector 78,Uttar Pradesh,Apartment,2,892,15,61.4,6883.4,22172,4.33,188,109,340,76,76.5,62.1,6.41,5.4,6.59,1.5,28.566794,77.395149
PROP01173,2023-05-01,Delhi,Saket,Delhi,Apartment,1,683,13,81.8,11976.79,21585,3.17,214,106,497,62,64.8,76.4,6.45,4.94,6.53,9.3,28.524092,77.205049
PROP01174,2024-04-01,Ahmedabad,Bopal,Gujarat,Independent House,2,904,12,70.04,7747.68,24865,4.26,145,86,253,64,85.3,65.5,6.49,5.36,6.61,5.0,23.029994,72.469526
PROP01175,2024-11-01,Hyderabad,Miyapur,Telangana,Apartment,3,1520,5,116.23,7646.63,40268,4.16,119,79,235,74,75.9,76.9,6.49,4.34,6.43,2.3,17.499624,78.35391
PROP01176,2025-09-01,Bengaluru,Whitefield,Karnataka,Apartment,3,1718,14,158.68,9236.37,49435,3.74,126,85,252,88,73.6,72.6,6.47,5.51,6.99,6.8,12.971074,77.74777
PROP01177,2026-05-01,Kolkata,Ballygunge,West Bengal,Villa,2,1148,11,113.01,9844.19,36513,3.88,115,95,216,60,86.0,57.5,6.36,4.25,6.53,8.3,22.533075,88.358424
PROP01178,2022-11-01,Noida,Sector 150,Uttar Pradesh,Apartment,2,959,14,52.36,5459.99,17345,3.98,140,98,219,91,76.9,67.4,6.38,4.88,6.49,9.9,28.476593,77.410912
PROP01179,2023-01-01,Mumbai,Thane,Maharashtra,Villa,2,1160,19,422.02,36381.15,148822,4.23,148,102,304,71,79.6,73.7,6.28,5.23,6.12,3.0,19.218295,72.981872
PROP01180,2023-05-01,Hyderabad,Gachibowli,Telangana,Apartment,2,866,10,60.44,6979.43,24810,4.93,168,125,301,81,80.5,65.8,6.37,5.16,5.58,10.0,17.442358,78.347229
PROP01181,2026-02-01,Delhi,Mayur Vihar,Delhi,Apartment,2,952,9,136.5,14338.07,45274,3.98,157,97,309,71,75.8,73.7,6.35,5.34,7.06,4.7,28.604787,77.291067
PROP01182,2025-07-01,Kolkata,New Town,West Bengal,Apartment,2,1056,14,54.14,5126.98,20233,4.48,205,120,398,65,67.8,70.5,6.38,5.13,5.92,6.1,22.585377,88.419001
PROP01183,2025-12-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,1,691,11,37.81,5471.37,14904,4.73,165,96,430,96,71.3,60.5,6.3,4.94,6.36,4.6,26.911137,75.741857
PROP01184,2023-01-01,Delhi,Dwarka,Delhi,Apartment,1,585,2,63.51,10856.53,16755,3.17,136,90,271,86,66.5,64.8,6.44,5.37,6.19,4.2,28.59373,77.044883
PROP01185,2025-10-01,Pune,Wakad,Maharashtra,Apartment,4,2296,3,190.8,8310.19,77761,4.89,117,93,197,68,87.1,59.9,6.51,5.22,6.71,4.1,18.597195,73.766896
PROP01186,2022-03-01,Mumbai,Thane,Maharashtra,Apartment,1,773,8,144.09,18640.86,48464,4.04,142,68,316,75,70.0,82.1,6.39,4.83,6.14,7.3,19.216375,72.982736
PROP01187,2022-09-01,Noida,Sector 78,Uttar Pradesh,Apartment,3,1494,10,90.87,6082.12,37337,4.93,149,69,289,87,59.0,70.6,6.46,6.24,6.55,4.3,28.562005,77.39308
PROP01188,2026-01-01,Delhi,Mayur Vihar,Delhi,Apartment,2,1019,9,127.39,12501.51,41201,3.88,169,118,321,61,81.9,60.5,6.42,4.75,7.03,2.2,28.612044,77.305581
PROP01189,2026-03-01,Pune,Kharadi,Maharashtra,Apartment,3,1382,17,121.62,8800.13,35703,3.52,145,93,274,75,74.8,71.5,6.46,5.24,6.66,9.9,18.549457,73.950711
PROP01190,2025-06-01,Chennai,OMR,Tamil Nadu,Apartment,3,1636,10,92.21,5636.23,24787,3.23,139,88,273,64,82.9,54.6,6.47,5.47,6.46,10.2,12.939791,80.231601
PROP01191,2023-01-01,Mumbai,Bandra,Maharashtra,Apartment,1,794,9,136.58,17201.85,41324,3.63,131,87,236,80,81.5,68.8,6.36,5.66,6.7,7.6,19.059941,72.833663
PROP01192,2022-08-01,Noida,Sector 137,Uttar Pradesh,Apartment,3,1526,16,99.13,6495.87,41427,5.02,309,158,616,73,77.6,79.9,6.53,5.56,7.3,0.3,28.510952,77.399153
PROP01193,2025-09-01,Delhi,Rohini,Delhi,Apartment,4,1964,19,297.15,15130.0,82191,3.32,140,103,306,69,91.6,82.1,6.45,4.98,6.27,5.3,28.754777,77.05825
PROP01194,2022-09-01,Delhi,Saket,Delhi,Independent House,2,1096,2,174.48,15919.66,46208,3.18,206,109,394,73,77.5,77.4,6.47,5.61,6.52,5.8,28.521573,77.20445
PROP01195,2023-09-01,Chennai,Tambaram,Tamil Nadu,Villa,2,924,19,105.31,11396.94,46322,5.28,275,170,534,87,76.7,75.7,6.54,4.98,6.33,4.1,12.923818,80.104775
PROP01196,2023-03-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,3,1688,15,331.72,19651.95,114900,4.16,219,115,429,77,67.3,75.2,6.38,5.03,6.4,8.5,19.034865,73.036016
PROP01197,2023-09-01,Ahmedabad,SG Highway,Gujarat,Apartment,3,1348,1,66.77,4953.55,22625,4.07,144,86,309,66,78.6,50.6,6.41,5.51,6.39,6.6,23.046106,72.51903
PROP01198,2024-06-01,Jaipur,C-Scheme,Rajasthan,Apartment,2,927,12,38.89,4195.54,18248,5.63,153,73,373,70,63.5,67.0,6.63,4.92,6.55,7.0,26.913104,75.792055
PROP01199,2022-01-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,3,1501,12,101.44,6758.04,21614,2.56,164,103,318,56,87.1,63.1,6.29,4.55,6.79,11.3,28.600479,77.436672
PROP01200,2025-09-01,Noida,Sector 75,Uttar Pradesh,Apartment,3,1294,11,103.77,8019.25,27000,3.12,159,110,283,83,81.1,65.1,6.51,5.41,6.64,9.9,28.58454,77.376331
PROP01201,2025-01-01,Mumbai,Powai,Maharashtra,Apartment,2,1213,16,276.41,22787.63,62515,2.71,162,96,380,75,74.1,72.0,6.44,5.37,6.44,0.8,19.112484,72.900915
PROP01202,2023-10-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,2,1163,0,73.66,6333.21,25109,4.09,176,107,329,66,71.1,65.3,6.36,4.94,7.21,2.1,28.598669,77.437829
PROP01203,2022-04-01,Chennai,OMR,Tamil Nadu,Apartment,1,707,15,49.65,7022.44,17959,4.34,131,93,254,66,84.0,72.1,6.46,5.28,6.71,8.2,12.939066,80.233473
PROP01204,2025-02-01,Delhi,Vasant Kunj,Delhi,Apartment,3,1487,4,157.37,10582.93,42275,3.22,227,97,547,83,62.9,81.6,6.43,5.22,5.89,6.2,28.529618,77.154422
PROP01205,2022-09-01,Jaipur,C-Scheme,Rajasthan,Villa,1,620,12,48.47,7817.49,19420,4.81,176,106,310,60,84.6,62.9,6.42,5.43,6.58,6.6,26.917889,75.77937
PROP01206,2023-08-01,Mumbai,Powai,Maharashtra,Apartment,3,1493,10,313.43,20993.3,80123,3.07,179,130,259,72,83.0,74.3,6.46,5.02,6.36,2.6,19.12372,72.905717
PROP01207,2022-12-01,Ahmedabad,Bopal,Gujarat,Apartment,3,1482,11,63.96,4315.98,26569,4.98,180,115,292,75,80.5,63.3,6.55,5.08,6.04,3.1,23.033227,72.472183
PROP01208,2024-08-01,Chennai,Tambaram,Tamil Nadu,Apartment,2,941,3,75.22,7993.1,30655,4.89,203,120,424,65,75.7,58.4,6.52,5.92,6.46,9.1,12.920639,80.097122
PROP01209,2024-10-01,Jaipur,Ajmer Road,Rajasthan,Apartment,3,1466,7,65.02,4435.1,27480,5.07,139,69,241,88,60.5,61.9,6.42,5.1,5.85,1.0,26.898439,75.695502
PROP01210,2026-01-01,Chennai,Anna Nagar,Tamil Nadu,Apartment,3,1597,1,138.29,8659.56,60632,5.26,85,49,223,64,73.0,69.5,6.51,5.65,6.26,0.6,13.091319,80.211022
PROP01211,2023-09-01,Bengaluru,Sarjapur Road,Karnataka,Apartment,2,943,18,89.43,9483.75,36314,4.87,150,87,330,77,85.3,68.9,6.41,5.56,6.73,2.6,12.910367,77.687
PROP01212,2025-10-01,Jaipur,Jagatpura,Rajasthan,Apartment,3,1305,15,54.4,4168.42,23890,5.27,122,69,227,99,71.3,70.3,6.43,4.75,5.77,3.0,26.835112,75.848096
PROP01213,2024-11-01,Noida,Sector 150,Uttar Pradesh,Apartment,3,1417,5,118.22,8342.91,36980,3.75,127,69,228,77,72.8,82.7,6.29,4.36,6.28,11.5,28.48425,77.407027
PROP01214,2022-11-01,Noida,Sector 150,Uttar Pradesh,Apartment,2,1235,17,76.81,6219.2,27448,4.29,165,92,347,81,68.8,71.9,6.46,5.07,6.27,4.2,28.477249,77.402702
PROP01215,2022-07-01,Bengaluru,Hebbal,Karnataka,Apartment,3,1767,8,153.4,8681.37,70585,5.52,176,99,441,62,83.4,70.2,6.37,4.85,7.11,6.5,13.037521,77.601284
PROP01216,2022-05-01,Noida,Sector 75,Uttar Pradesh,Apartment,3,1280,14,87.61,6844.84,40806,5.59,95,61,171,85,73.5,72.5,6.5,5.64,6.97,7.8,28.579222,77.379692
PROP01217,2022-05-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,3,1325,12,52.92,3993.84,21229,4.81,150,99,269,76,79.0,58.1,6.46,4.49,6.34,10.9,26.917529,75.745125
PROP01218,2025-10-01,Ahmedabad,Chandkheda,Gujarat,Apartment,2,896,13,47.63,5315.93,19961,5.03,79,50,192,86,68.4,69.7,6.42,5.89,6.35,2.9,23.110811,72.576886
PROP01219,2023-01-01,Ahmedabad,Satellite,Gujarat,Apartment,4,1799,18,105.41,5859.1,39008,4.44,218,146,343,69,85.4,55.4,6.54,5.36,6.91,2.3,23.022519,72.511566
PROP01220,2024-11-01,Pune,Baner,Maharashtra,Independent House,3,1754,8,191.68,10928.24,57438,3.6,204,138,395,70,93.3,62.4,6.54,5.49,6.53,1.2,18.5655,73.784252
PROP01221,2022-12-01,Chennai,Porur,Tamil Nadu,Villa,3,1593,5,180.4,11324.77,72981,4.85,150,90,302,82,70.1,71.4,6.45,4.81,6.83,8.9,13.029992,80.155399
PROP01222,2025-08-01,Jaipur,Mansarovar,Rajasthan,Independent House,3,1498,19,89.7,5987.92,35578,4.76,134,86,275,73,62.8,51.6,6.5,5.64,6.47,4.4,26.849169,75.764495
PROP01223,2025-08-01,Kolkata,Ballygunge,West Bengal,Apartment,2,998,15,64.7,6482.72,30570,5.67,192,77,384,82,57.3,82.2,6.51,4.47,5.49,6.7,22.526801,88.371765
PROP01224,2023-10-01,Hyderabad,Miyapur,Telangana,Apartment,2,1092,1,65.2,5970.94,25324,4.66,172,116,253,68,86.9,69.4,6.52,5.2,6.58,0.3,17.498136,78.352224
PROP01225,2022-12-01,Noida,Sector 78,Uttar Pradesh,Villa,3,1366,12,145.19,10628.55,42598,3.52,58,38,116,73,83.7,66.5,6.46,4.77,6.39,2.4,28.560014,77.388574
PROP01226,2023-05-01,Pune,Hinjewadi,Maharashtra,Apartment,3,1389,14,118.74,8548.86,45786,4.63,110,81,125,81,82.5,63.5,6.41,5.0,6.32,1.6,18.592296,73.737613
PROP01227,2023-12-01,Hyderabad,Manikonda,Telangana,Villa,2,1011,16,121.04,11972.45,43899,4.35,185,108,374,64,89.5,65.2,6.39,5.2,6.19,11.0,17.40263,78.386233
PROP01228,2022-12-01,Kolkata,Garia,West Bengal,Apartment,1,619,1,36.86,5954.2,14714,4.79,76,42,176,78,75.8,69.5,6.52,4.31,6.33,5.1,22.462666,88.385144
PROP01229,2023-08-01,Delhi,Vasant Kunj,Delhi,Apartment,3,1257,5,151.06,12017.45,38833,3.08,147,89,307,59,78.9,59.4,6.46,5.14,6.53,3.8,28.528459,77.158824
PROP01230,2025-07-01,Bengaluru,Marathahalli,Karnataka,Apartment,2,946,17,86.18,9110.23,28679,3.99,98,60,254,82,94.2,68.7,6.35,4.88,6.49,10.5,12.960624,77.696024
PROP01231,2023-10-01,Delhi,Mayur Vihar,Delhi,Apartment,2,1065,20,114.43,10745.0,37422,3.92,132,91,248,55,71.7,61.8,6.48,4.6,6.27,11.9,28.598267,77.29529
PROP01232,2024-02-01,Mumbai,Navi Mumbai,Maharashtra,Villa,3,1323,19,615.18,46499.24,123069,2.4,197,101,386,69,69.4,72.3,6.47,5.1,6.23,0.6,19.028421,73.027994
PROP01233,2024-09-01,Kolkata,Behala,West Bengal,Villa,3,1465,5,159.09,10859.63,53173,4.01,142,92,202,59,69.8,56.5,6.4,4.51,6.52,4.9,22.496511,88.317201
PROP01234,2023-04-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,3,1476,16,52.24,3539.48,21443,4.93,121,85,236,66,72.8,62.6,6.35,4.71,5.98,6.4,26.917134,75.745686
PROP01235,2024-04-01,Mumbai,Andheri,Maharashtra,Apartment,2,1235,3,268.14,21711.7,78564,3.52,128,76,248,83,79.8,62.6,6.51,4.8,6.05,5.7,19.125507,72.847407
PROP01236,2025-12-01,Noida,Sector 62,Uttar Pradesh,Apartment,2,1049,20,100.84,9612.8,37649,4.48,200,143,348,72,76.4,70.4,6.38,5.3,6.86,1.7,28.625413,77.360046
PROP01237,2024-09-01,Noida,Sector 75,Uttar Pradesh,Apartment,3,1378,18,115.07,8350.66,35268,3.68,202,115,400,79,76.1,67.1,6.59,5.03,6.41,2.9,28.588319,77.387739
PROP01238,2026-01-01,Bengaluru,Whitefield,Karnataka,Apartment,2,967,15,84.84,8773.64,27790,3.93,166,102,322,65,83.3,58.6,6.65,4.46,6.25,8.4,12.965742,77.745647
PROP01239,2025-11-01,Kolkata,Behala,West Bengal,Independent House,3,1273,15,105.75,8307.1,39892,4.53,86,45,141,68,68.2,70.7,6.6,4.34,6.21,8.2,22.49512,88.315622
PROP01240,2025-12-01,Bengaluru,Sarjapur Road,Karnataka,Independent House,3,1477,0,160.91,10894.4,54768,4.08,131,98,236,45,87.3,68.5,6.38,4.78,6.43,4.5,12.922809,77.675165
PROP01241,2022-06-01,Bengaluru,Hebbal,Karnataka,Independent House,2,1202,4,141.37,11761.33,48890,4.15,270,200,496,65,83.6,64.0,6.46,5.08,5.83,6.9,13.032859,77.594598
PROP01242,2024-09-01,Delhi,Saket,Delhi,Independent House,2,1106,2,142.3,12866.09,26088,2.2,143,76,284,68,80.0,80.3,6.46,4.7,6.22,4.4,28.524658,77.210868
PROP01243,2025-03-01,Delhi,Greater Kailash,Delhi,Villa,2,973,4,237.83,24443.03,81856,4.13,119,71,245,76,74.0,70.0,6.4,4.78,6.62,1.9,28.544793,77.234911
PROP01244,2023-12-01,Hyderabad,Gachibowli,Telangana,Apartment,4,1755,11,156.68,8927.68,50010,3.83,124,85,211,58,90.8,62.4,6.58,4.01,6.41,9.5,17.445732,78.347306
PROP01245,2022-11-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,2,1171,6,67.0,5721.2,17712,3.17,74,48,178,74,70.8,75.2,6.33,5.25,6.33,1.7,28.611637,77.431462
PROP01246,2024-01-01,Chennai,Adyar,Tamil Nadu,Apartment,2,1200,4,75.78,6314.75,27025,4.28,166,88,377,70,78.0,69.5,6.5,5.62,6.26,9.0,12.99835,80.253678
PROP01247,2024-02-01,Bengaluru,Whitefield,Karnataka,Apartment,1,716,19,53.24,7436.11,16821,3.79,170,118,348,94,86.8,72.0,6.44,5.81,6.8,1.7,12.971691,77.750546
PROP01248,2023-06-01,Kolkata,Rajarhat,West Bengal,Apartment,2,877,5,50.5,5758.24,21220,5.04,173,114,301,80,78.1,69.7,6.51,5.32,6.26,2.5,22.617903,88.475634
PROP01249,2023-01-01,Mumbai,Borivali,Maharashtra,Apartment,4,2140,5,380.37,17774.11,75329,2.38,156,110,263,82,68.9,64.1,6.32,5.04,6.8,2.7,19.232766,72.856491
PROP01250,2026-02-01,Delhi,Vasant Kunj,Delhi,Apartment,2,1249,16,174.48,13969.31,50842,3.5,200,123,407,69,77.1,68.3,6.29,4.56,6.49,7.8,28.53226,77.157332
PROP01251,2023-12-01,Chennai,Velachery,Tamil Nadu,Villa,3,1534,14,203.5,13266.27,62207,3.67,209,136,425,63,91.9,58.6,6.45,5.27,6.29,6.9,12.980437,80.218712
PROP01252,2023-02-01,Hyderabad,Miyapur,Telangana,Apartment,3,1313,6,105.56,8039.59,42553,4.84,198,142,338,78,77.1,69.3,6.55,5.21,5.98,6.6,17.494199,78.353183
PROP01253,2024-01-01,Noida,Sector 75,Uttar Pradesh,Apartment,2,1042,5,62.1,5959.94,19439,3.76,71,45,89,75,82.5,66.2,6.51,5.66,5.93,4.3,28.58054,77.394694
PROP01254,2025-09-01,Ahmedabad,Prahlad Nagar,Gujarat,Villa,3,1544,0,140.61,9107.0,56847,4.85,118,75,235,83,87.5,59.6,6.54,5.62,6.65,1.8,23.017629,72.50556
PROP01255,2024-03-01,Chennai,Anna Nagar,Tamil Nadu,Villa,3,1286,11,179.96,13994.09,62414,4.16,143,112,255,93,86.2,61.1,6.34,4.99,6.55,2.4,13.090096,80.217457
PROP01256,2023-03-01,Hyderabad,Manikonda,Telangana,Apartment,4,1885,15,121.75,6459.12,49749,4.9,174,95,314,85,74.9,77.1,6.5,4.79,6.66,3.9,17.40706,78.381395
PROP01257,2024-01-01,Jaipur,Mansarovar,Rajasthan,Villa,3,1778,7,133.22,7492.78,55840,5.03,142,79,330,70,68.2,55.0,6.41,5.92,7.04,8.6,26.855875,75.760512
PROP01258,2023-05-01,Pune,Kharadi,Maharashtra,Villa,2,1045,11,129.51,12393.41,46335,4.29,163,127,248,66,79.5,56.7,6.41,4.89,7.12,8.9,18.540196,73.948953
PROP01259,2023-03-01,Ahmedabad,Maninagar,Gujarat,Apartment,2,1156,4,55.07,4763.41,21452,4.68,209,114,434,56,71.7,68.7,6.55,4.84,6.45,5.6,22.99579,72.607015
PROP01260,2022-10-01,Jaipur,Mansarovar,Rajasthan,Apartment,2,1226,20,45.89,3742.98,17151,4.49,207,137,311,86,64.4,61.3,6.4,5.23,6.45,8.4,26.849714,75.763234
PROP01261,2022-09-01,Jaipur,Malviya Nagar,Rajasthan,Apartment,2,1089,5,47.58,4369.34,17868,4.51,176,105,392,85,76.7,54.4,6.48,4.34,6.71,0.6,26.849507,75.809449
PROP01262,2023-03-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,2,1114,11,41.44,3720.17,15446,4.47,69,43,111,72,75.2,53.2,6.54,5.03,7.03,1.8,26.916428,75.73781
PROP01263,2023-04-01,Mumbai,Navi Mumbai,Maharashtra,Villa,1,606,18,206.52,34079.5,37862,2.2,246,163,462,70,84.8,84.3,6.48,4.89,5.89,4.1,19.032062,73.023831
PROP01264,2026-01-01,Noida,Sector 62,Uttar Pradesh,Apartment,2,1070,15,70.0,6541.61,19707,3.38,140,94,306,87,88.6,66.3,6.31,5.22,6.59,1.8,28.627266,77.370043
PROP01265,2022-05-01,Ahmedabad,Chandkheda,Gujarat,Apartment,2,1216,4,59.71,4910.51,27850,5.6,91,60,173,73,70.7,64.5,6.61,5.48,6.14,0.4,23.119945,72.591915
PROP01266,2025-07-01,Bengaluru,Yelahanka,Karnataka,Apartment,1,741,3,82.5,11133.07,25668,3.73,104,64,167,60,81.9,73.4,6.49,5.58,6.39,11.3,13.09681,77.59218
PROP01267,2022-08-01,Pune,Viman Nagar,Maharashtra,Apartment,2,1052,10,84.71,8052.12,30454,4.31,176,105,334,85,80.2,61.2,6.35,5.47,6.01,4.5,18.561925,73.914767
PROP01268,2023-05-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,3,1691,7,74.94,4431.46,36680,5.87,75,34,163,78,63.7,69.5,6.44,4.62,6.66,9.1,26.916141,75.746362
PROP01269,2023-11-01,Bengaluru,Hebbal,Karnataka,Independent House,2,1122,11,121.97,10870.58,44516,4.38,154,126,243,86,92.4,64.2,6.52,5.06,5.56,6.8,13.03621,77.596136
PROP01270,2025-05-01,Delhi,Vasant Kunj,Delhi,Apartment,3,1680,18,248.68,14802.09,63003,3.04,134,70,259,90,62.6,83.5,6.43,5.45,6.43,11.0,28.530328,77.15257
PROP01271,2025-03-01,Jaipur,Ajmer Road,Rajasthan,Apartment,4,1789,5,75.36,4212.32,31498,5.02,117,80,204,69,77.0,59.7,6.51,5.18,6.69,10.9,26.90384,75.695217
PROP01272,2025-01-01,Chennai,Adyar,Tamil Nadu,Villa,1,641,7,71.08,11089.6,18088,3.05,178,98,355,68,68.2,62.9,6.53,5.39,6.33,3.7,13.000219,80.25515
PROP01273,2026-01-01,Delhi,Vasant Kunj,Delhi,Independent House,3,1349,8,238.08,17648.95,66680,3.36,220,115,465,74,67.5,83.1,6.46,5.03,6.58,5.8,28.527374,77.158684
PROP01274,2023-04-01,Jaipur,Jagatpura,Rajasthan,Apartment,1,744,15,33.11,4450.05,14876,5.39,157,110,268,98,58.6,54.4,6.38,3.48,6.76,9.8,26.835945,75.848788
PROP01275,2026-02-01,Pune,Hinjewadi,Maharashtra,Independent House,3,1604,19,171.43,10687.76,37049,2.59,148,77,229,97,66.8,64.9,6.32,4.63,6.06,8.8,18.592986,73.737007
PROP01276,2022-03-01,Pune,Hadapsar,Maharashtra,Apartment,2,1238,14,96.54,7797.86,31890,3.96,92,44,192,72,63.7,64.3,6.33,5.53,6.34,10.5,18.50904,73.927406
PROP01277,2022-04-01,Pune,Kharadi,Maharashtra,Apartment,3,1479,0,116.54,7879.54,53055,5.46,138,91,285,86,90.4,72.4,6.27,5.49,6.41,3.1,18.552978,73.950638
PROP01278,2023-01-01,Hyderabad,Manikonda,Telangana,Apartment,4,1797,6,110.41,6144.32,45102,4.9,127,80,197,54,87.8,73.8,6.39,5.18,7.09,1.5,17.40508,78.385422
PROP01279,2025-08-01,Kolkata,Garia,West Bengal,Apartment,2,1080,15,68.57,6349.37,24493,4.29,183,97,397,74,66.6,71.1,6.39,5.02,6.69,9.5,22.456119,88.382044
PROP01280,2024-04-01,Jaipur,Jagatpura,Rajasthan,Apartment,2,1185,16,45.91,3874.51,17107,4.47,209,130,399,50,72.6,68.6,6.44,5.27,7.05,1.7,26.828648,75.846577
PROP01281,2025-08-01,Chennai,OMR,Tamil Nadu,Apartment,2,1206,12,105.53,8750.8,32838,3.73,219,134,413,69,68.8,70.8,6.56,4.14,6.95,2.1,12.934914,80.228637
PROP01282,2023-03-01,Jaipur,Malviya Nagar,Rajasthan,Apartment,2,1057,20,40.63,3843.46,16871,4.98,180,122,325,75,81.5,55.6,6.45,4.48,6.29,1.2,26.849894,75.80938
PROP01283,2022-09-01,Mumbai,Bandra,Maharashtra,Apartment,3,1575,18,325.96,20695.65,95610,3.52,229,137,460,64,81.1,66.0,6.52,5.26,6.61,11.9,19.063976,72.832528
